Era,Time,Sig_Landed,Sig_Att,TD_Landed,TD_Att,Sig_Landed_Per_Min,Sig_Att_Per_Min,TD_Landed_Per_Min,TD_Att_Per_Min
Dark Ages,10.0,18,33,0,2,1.8,3.3,0.0,0.2
Dark Ages,14.216666666666669,28,41,1,1,1.9695193434935518,2.8839390386869868,0.07033997655334114,0.07033997655334114
Dark Ages,15.0,7,17,4,5,0.4666666666666667,1.1333333333333333,0.26666666666666666,0.3333333333333333
Dark Ages,9.566666666666666,17,24,1,1,1.7770034843205575,2.5087108013937285,0.10452961672473868,0.10452961672473868
Dark Ages,10.0,5,9,2,2,0.5,0.9,0.2,0.2
Dark Ages,0.25,1,3,0,0,4.0,12.0,0.0,0.0
Dark Ages,10.0,9,19,2,4,0.9,1.9,0.2,0.4
Dark Ages,0.9166666666666666,2,4,1,1,2.181818181818182,4.363636363636364,1.090909090909091,1.090909090909091
Dark Ages,6.966666666666667,16,28,3,3,2.2966507177033493,4.019138755980861,0.43062200956937796,0.43062200956937796
Dark Ages,2.966666666666667,17,26,0,0,5.730337078651685,8.764044943820224,0.0,0.0
Dark Ages,1.8666666666666667,16,22,2,2,8.571428571428571,11.785714285714285,1.0714285714285714,1.0714285714285714
Dark Ages,4.966666666666667,32,40,1,1,6.442953020134228,8.053691275167784,0.20134228187919462,0.20134228187919462
Dark Ages,0.3333333333333333,0,0,0,0,0.0,0.0,0.0,0.0
Dark Ages,2.4,8,12,1,1,3.3333333333333335,5.0,0.4166666666666667,0.4166666666666667
Dark Ages,15.0,42,77,0,0,2.8,5.133333333333334,0.0,0.0
Zuffa Boom,0.5333333333333333,7,7,1,1,13.125,13.125,1.875,1.875
Zuffa Boom,1.6666666666666667,3,6,1,2,1.7999999999999998,3.5999999999999996,0.6,1.2
Zuffa Boom,2.8666666666666667,2,5,0,0,0.6976744186046512,1.744186046511628,0.0,0.0
Zuffa Boom,25.0,50,131,0,0,2.0,5.24,0.0,0.0
Zuffa Boom,10.0,39,54,2,2,3.9,5.4,0.2,0.2
Zuffa Boom,9.783333333333331,12,16,4,5,1.2265758091993189,1.6354344122657585,0.4088586030664396,0.5110732538330495
Zuffa Boom,3.45,20,23,0,0,5.797101449275362,6.666666666666666,0.0,0.0
Zuffa Boom,9.35,31,86,0,0,3.3155080213903743,9.197860962566846,0.0,0.0
Zuffa Boom,25.0,69,118,3,15,2.76,4.72,0.12,0.6
Zuffa Boom,15.0,28,48,5,5,1.8666666666666667,3.2,0.3333333333333333,0.3333333333333333
Zuffa Boom,4.95,22,32,2,2,4.444444444444445,6.4646464646464645,0.40404040404040403,0.40404040404040403
Zuffa Boom,14.35,22,49,5,5,1.5331010452961673,3.4146341463414633,0.34843205574912894,0.34843205574912894
Zuffa Boom,6.466666666666667,15,26,0,0,2.319587628865979,4.020618556701031,0.0,0.0
Zuffa Boom,14.85,18,33,2,3,1.2121212121212122,2.2222222222222223,0.13468013468013468,0.20202020202020202
Zuffa Boom,1.3,3,5,0,0,2.3076923076923075,3.846153846153846,0.0,0.0
Zuffa Boom,12.833333333333334,14,52,4,6,1.0909090909090908,4.0519480519480515,0.3116883116883117,0.4675324675324675
Zuffa Boom,2.7,6,8,0,1,2.222222222222222,2.962962962962963,0.0,0.37037037037037035
Zuffa Boom,3.533333333333333,35,59,1,1,9.90566037735849,16.69811320754717,0.2830188679245283,0.2830188679245283
Zuffa Boom,4.35,10,17,1,1,2.298850574712644,3.9080459770114944,0.2298850574712644,0.2298850574712644
Zuffa Boom,15.0,17,28,3,3,1.1333333333333333,1.8666666666666667,0.2,0.2
Zuffa Boom,1.8,8,17,2,4,4.444444444444445,9.444444444444445,1.1111111111111112,2.2222222222222223
Zuffa Boom,1.0833333333333333,1,3,0,0,0.9230769230769231,2.7692307692307696,0.0,0.0
Zuffa Boom,11.383333333333333,30,50,2,8,2.635431918008785,4.392386530014641,0.17569546120058566,0.7027818448023426
Zuffa Boom,7.7,10,16,1,1,1.2987012987012987,2.0779220779220777,0.12987012987012986,0.12987012987012986
Zuffa Boom,15.0,42,69,1,1,2.8,4.6,0.06666666666666667,0.06666666666666667
Zuffa Boom,4.1,4,4,1,1,0.9756097560975611,0.9756097560975611,0.24390243902439027,0.24390243902439027
Zuffa Boom,5.25,8,8,0,1,1.5238095238095237,1.5238095238095237,0.0,0.19047619047619047
